"ID","Area","Feature","Actor","User story","Expected behavior","Primary surfaces","Evidence source","Automation coverage","Test status","Last test evidence","Error / UX issue","Fix status","Retest status","Notes"
"ADMIN-006","Admin","Delete user","Admin","As an admin I can delete unwanted user accounts after re-authentication.","DELETE /api/admin/users/:id requires admin and sensitive auth, prevents unsafe self/admin deletion according to route logic, and removes user data.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ADMIN-007","Admin","Admin audit logs","Admin","As an admin I can audit user/security/Steam actions.","GET /api/admin/logs supports scope, userId, accountId and limit filters.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"BOT-001","Telegram bot","/start help","Telegram user","As a Telegram user I can start the bot and see commands in my selected language.","/start without deep link resolves language and returns localized command help.","Telegram bot","bot/bot.py; backend/src/routes/bot.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","Plain /start returned a short active message instead of command help.","Fixed UX: /start now returns full localized command help instead of short active-only text.","Passed automated retest",""
"BOT-002","Telegram bot","/add link account","Telegram user","As a Telegram user I can link Telegram to my web account using the web-generated code.","/add=<code> or /add <code> calls backend link route and stores telegram_user_id/username.","Telegram bot, Settings page","bot/bot.py; backend/src/routes/bot.ts; backend/src/routes/settings.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend link route and Python /add handler covered.","Passed automated retest",""
"BOT-003","Telegram bot","/accounts","Telegram user","As a linked Telegram user I can list my Steam accounts.","/accounts calls backend and returns account IDs, aliases and SteamIDs localized by profile language.","Telegram bot","bot/bot.py; backend/src/routes/bot.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend accounts route and Python /accounts handler covered.","Passed automated retest",""
"BOT-004","Telegram bot","/codes","Telegram user","As a linked Telegram user I can request current Steam Guard codes.","/codes returns current code per account and handles no accounts/errors.","Telegram bot","bot/bot.py; backend/src/routes/bot.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend codes route and Python /codes handler covered.","Passed automated retest",""
"BOT-005","Telegram bot","/confirm","Telegram user","As a linked Telegram user I can confirm a pending trade from Telegram.","/confirm resolves confirmation by id or account:id and calls backend confirm route.","Telegram bot","bot/bot.py; backend/src/routes/bot.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend confirm route and Python /confirm handler covered.","Passed automated retest",""
"BOT-006","Telegram bot","Inline approve/reject buttons","Telegram user","As a Telegram user I can approve or reject login/trade confirmations from inline buttons.","Callback payload validates action/cache id, backend responds to Steam, removes markup and posts localized result.","Telegram bot, Backend bot routes","bot/bot.py; backend/src/routes/bot.ts","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend respond route and Python inline callback handler covered.","Passed automated retest",""
"BOT-007","Telegram bot","/status","Telegram user","As a Telegram user I can check backend connectivity.","/status calls backend accounts route and returns localized OK or error.","Telegram bot","bot/bot.py","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Python /status handler covered.","Passed automated retest",""
"BOT-008","Telegram bot","Telegram OAuth deep link","Telegram user","As a Telegram user I can approve website login from bot deep link.","/start login_<code> calls backend OAuth route and web poller logs in automatically.","Telegram bot, Login page","bot/bot.py; backend/src/routes/auth.ts; frontend/src/pages/LoginPage.tsx","backend tests + bot unit tests","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests including telegram-bot-routes; Telegram bot unittest 8 handler tests; Cypress smoke 1 passing.","","Backend OAuth route and Python /start login_<code> handler covered; browser poll remains covered under auth flow separately.","Passed automated retest","Live Telegram delivery still requires real bot token/chat."
"BOTAPI-001","User API","List accounts via API","API client","As an API client I can list user accounts with JWT/API auth.","GET /api/user/accounts returns accounts scoped to authenticated user.","API","backend/src/routes/userApi.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. GET /api/user/accounts returns current-user accounts with tags and auto-confirm fields.","","No code fix required","Passed automated retest",""
"BOTAPI-002","User API","Get account code via API","API client","As an API client I can fetch a fresh Steam Guard code for an account.","GET /api/account/:id/code validates ownership and returns generated code.","API","backend/src/routes/userApi.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. GET /api/account/:id/code validates ownership, decrypts maFile, returns a fresh code and updates last_code.","","No code fix required","Passed automated retest",""
"BOTAPI-003","User API","Confirm trade via API","API client","As an API client I can approve a trade confirmation for automation.","POST /api/account/:id/confirm/trade/:offerid validates ownership, uses provided/cached nonce, sends confirmation with session recovery, stores refreshed session, clears session-expired warnings and marks cache confirmed.","API","backend/src/routes/userApi.ts","backend tests","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 77 tests. account-api-routes covers cached nonce, missing nonce and refreshed-session persistence for user API trade confirm.","Route previously used non-recovery Steam confirmation path, unlike web/Telegram flows.","Fixed: use respondToConfirmationWithSessionRecovery and persist refreshed account_sessions.","Passed automated retest","Live Steam confirmation still requires valid Steam-side confirmation/session."
"SEC-001","Security","Helmet/CORS/CSRF/security headers","User","As a user I expect web/API responses to use security middleware.","Security plugin registers Helmet, CORS, CSRF protection and HTTPS redirect behavior according to env.","API","backend/src/plugins/security.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities. 2026-06-22: npm audit --omit=dev --audit-level=high passed in backend and frontend: 0 vulnerabilities.","","","Passed automated retest",""
"SEC-002","Security","Rate limiting","User","As a user I expect login/register/write abuse to be rate limited.","Rate limiters guard auth, registration and write endpoints by IP/user context.","API","backend/src/middleware/rateLimiters.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities. 2026-06-22: npm audit --omit=dev --audit-level=high passed in backend and frontend: 0 vulnerabilities.","","","Passed automated retest",""
"SEC-003","Security","Per-user encryption","User","As a user I need my MA files and sessions encrypted with user-derived material.","MA data, sessions, recovery codes and API keys are encrypted/hashed so DB-only disclosure is limited.","Backend storage","backend/src/utils/crypto.ts; backend/src/utils/accountSession.ts; backend/src/routes/accounts.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities. 2026-06-22: npm audit --omit=dev --audit-level=high passed in backend and frontend: 0 vulnerabilities.","","","Passed automated retest",""
"SEC-004","Security","Access control isolation","User","As a user I cannot read or modify another user's accounts/settings/logs.","Routes use authenticated user id/admin checks to scope queries and reject cross-user IDs.","API","backend/src/routes/*.ts; backend/tests/access-control.test.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities. 2026-06-22: npm audit --omit=dev --audit-level=high passed in backend and frontend: 0 vulnerabilities.","","","Passed automated retest",""
"SEC-005","Security","Production env guardrails","Operator","As an operator I should not start production with weak placeholder secrets.","Env validation rejects missing/weak production secrets and default admin password as implemented.","Backend startup","backend/src/config/env.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities. 2026-06-22: npm audit --omit=dev --audit-level=high passed in backend and frontend: 0 vulnerabilities.","","","Passed automated retest",""
"PWA-001","Frontend/PWA","SPA routing","User","As a user I can navigate app routes and refresh without 404.","React Router maps /login, /dashboard, /accounts, /accounts/:id, /settings, /logs and /admin; nginx serves SPA fallback.","Frontend, Nginx","frontend/src/App.tsx; frontend/docker/nginx.conf","frontend smoke/manual","Passed automated current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests, Telegram bot unittest 8 tests, Cypress smoke 1 passing; stack cleanup completed.","Cypress TS config failed under ESM mode before this loop.","Fixed by moving Cypress config to cypress.config.cjs and allowing frontend host in Vite dev server","Passed Cypress smoke retest",""
"PWA-002","Frontend/PWA","Theme persistence","User","As a user I can switch light/dark theme and keep it across reloads.","Theme hook stores preference in localStorage and applies document class.","Frontend","frontend/src/hooks/useTheme.ts; frontend/src/components/ThemeToggle.tsx","frontend tests/manual","Passed automated current loop","2026-06-22: frontend lint, Vitest and Vite PWA build passed; Vitest 3 files / 5 tests; service worker generated. ThemeToggle test verifies localStorage steamguard-theme persistence and root dark class updates.","","No code fix required","Passed frontend automated retest",""
"PWA-003","Frontend/PWA","Language switcher","User","As a user I can switch UI language between English and Russian.","Language switcher updates i18n language and settings can persist language server-side.","Frontend, Settings API","frontend/src/components/LanguageSwitcher.tsx; frontend/src/i18n","frontend tests/manual","Passed automated current loop","2026-06-22: frontend lint, Vitest and Vite PWA build passed; Vitest 3 files / 5 tests; service worker generated. LanguageSwitcher test verifies selected locale calls i18n.changeLanguage and onChange.","","No code fix required","Passed frontend automated retest",""
"PWA-004","Frontend/PWA","Offline code cache","User","As a user I can retain last known codes for offline viewing.","Accounts page stores fetched live codes in localStorage for offline display behavior.","Frontend","frontend/src/pages/AccountsPage.tsx","frontend tests/manual","Passed automated current loop","2026-06-22: frontend lint, Vitest and Vite PWA build passed; Vitest 3 files / 5 tests; service worker generated. AccountsPage test verifies fetched live codes are persisted to steamguard-offline-codes for offline fallback.","Live code polling updated UI state but did not persist fetched codes to offline localStorage cache.","Fixed live-code fetch to merge results into steamguard-offline-codes.","Passed frontend automated retest",""
"PWA-005","Frontend/PWA","Manifest and service worker","User","As a mobile user I can install the app as PWA.","Vite PWA generates manifest/service worker and icons are available.","Frontend build","frontend/vite.config.ts; frontend/public/icons","frontend build/manual","Passed automated current loop","2026-06-22: frontend lint, Vitest, Vite PWA build and Cypress smoke passed; Vitest 1 file / 2 tests; Cypress 1 spec / 1 test; service worker generated. Production audit high passed: 0 vulnerabilities.","","","Passed build and E2E smoke retest",""
"OPS-001","Deployment","Docker compose services","Operator","As an operator I can run backend, frontend, mysql, redis and telegram bot from compose.","Compose defines services, volumes, networks, healthchecks and port mappings for deployment.","Docker","docker-compose.yml; Dockerfiles","manual/partial","Passed runtime smoke","2026-06-22: docker compose ps shows backend, frontend, mysql, redis and telegram-bot running; /health responded locally with x-forwarded-proto=https; frontend index responded locally.","","","Passed runtime smoke",""
"OPS-002","Deployment","Makefile tasks","Operator","As an operator I can run dev/build/up/down/lint/test/deploy commands.","Makefile wraps Docker Compose and test/lint commands documented by README.","CLI","Makefile; README.md","manual/partial","Passed current loop","2026-06-22: make test passed in isolated steamguard_test stack: backend Jest 23 suites / 84 tests, Telegram bot unittest 8 tests, Cypress smoke 1 passing; later full backend Jest passed: 24 suites / 89 tests after Turnstile suite addition.","make test originally reused prod compose project/ports and could conflict with running prod; Cypress TS config failed under ESM; Vite dev rejected internal frontend host.","Fixed with isolated steamguard_test project, docker-compose.test.yml port reset, cypress.config.cjs and Vite allowedHosts.","Passed make test retest",""
"OPS-003","Deployment","Nginx reverse proxy config","Operator","As an operator I can proxy external traffic to frontend/API/WebSocket services.","Nginx config routes frontend, API and WS traffic to local container ports with HTTPS-compatible headers.","Nginx","docker/nginx/nginx.conf; frontend/docker/nginx.conf","manual/partial","Partial runtime smoke","2026-06-22: local frontend/backend ports responded; external nginx and TLS path not re-tested in this loop.","","","Manual external proxy test pending",""
"OPS-004","Documentation","README setup docs","Operator","As an operator I can install and run the project from README instructions.","README and Russian README document production setup, env, Docker, Turnstile, screenshots and local dev.","Docs","README.md; readme_ru.md; docs/screenshots","manual docs review + config check","Passed current loop","2026-06-22: README.md, readme_ru.md and .env.example reviewed against docker-compose.yml/Makefile. docker compose config --services passed. Docs now cover production-first deploy, reverse-proxy same-origin VITE_API_URL/VITE_WS_URL, and VITE_TURNSTILE_SITE_KEY matching TURNSTILE_SITE_KEY.","Docs did not explicitly show VITE_API_URL/VITE_WS_URL or explain VITE_TURNSTILE_SITE_KEY duplication for Vite.","Fixed docs/env example","Passed docs/config retest",""
